"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2"
270.0,4.0,5288.5,26680.0,141.43,141.43,1701.3,41.495,5.6804,692.26,0.0,1.0,0.0,0.17964,691.48
271.0,4.0,22397.0,26939.0,135.22,135.22,676.94,46.485,12.269,699.85,0.0,1.0,0.0,-0.73121,696.58
272.0,4.0,50863.0,29703.0,126.34,126.34,476.95,29.322,12.094,697.43,0.0,1.0,0.0,0.79697,690.01
273.0,4.0,45645.0,31009.0,132.12,132.12,718.51,32.799,10.085,700.98,0.0,1.0,0.0,0.55978,694.33
274.0,4.0,41243.0,31548.0,150.0,150.0,1033.2,31.921,9.4044,704.55,0.0,1.0,0.0,0.70407,698.54
275.0,4.0,48941.0,32375.0,127.83,127.83,814.91,23.908,7.919,699.2,0.0,1.0,0.0,0.71636,692.07
276.0,4.0,6346.6,33501.0,151.39,151.39,753.01,34.242,12.623,703.69,0.0,1.0,0.0,0.0045697,702.77
278.0,4.0,6933.0,36236.0,139.57,139.57,685.71,37.038,11.798,703.79,0.0,1.0,0.0,0.66955,702.78
280.0,4.0,18940.0,37264.0,194.54,194.54,1240.7,35.22,12.315,704.73,0.0,1.0,0.0,-0.15778,701.97
283.0,4.0,8650.8,38912.0,131.31,131.31,1385.5,35.139,8.9463,698.45,0.0,1.0,0.0,0.17964,697.19
286.0,4.0,8453.7,40608.0,142.9,142.9,1043.4,34.601,8.9306,695.23,0.0,1.0,0.0,0.28888,694.0
288.0,4.0,33178.0,42458.0,146.76,146.76,513.64,29.942,14.124,699.79,0.0,1.0,0.0,0.43221,694.96
289.0,4.0,11523.0,42477.0,141.19,141.19,498.69,27.379,15.439,700.42,0.0,1.0,0.0,0.61028,698.74
290.0,4.0,20963.0,42683.0,152.08,152.08,937.85,24.141,10.118,694.7,0.0,1.0,0.0,0.10322,691.64
291.0,5.0,20974.0,455.56,173.67,173.67,413.85,42.653,24.832,694.09,0.0,1.0,0.0,-0.71054,691.03
292.0,5.0,10008.0,520.95,103.56,103.56,154.73,41.961,18.192,695.66,0.0,1.0,0.0,-1.0737,694.2
294.0,5.0,43684.0,1205.5,145.55,145.55,455.87,37.08,16.978,706.11,0.0,1.0,0.0,-0.57404,699.74
295.0,5.0,32529.0,1571.0,144.4,144.4,863.25,43.513,12.014,696.05,0.0,1.0,0.0,-0.5998,691.3
296.0,5.0,40158.0,1623.6,128.86,128.86,300.52,37.223,21.283,699.73,0.0,1.0,0.0,-1.4909,693.88
298.0,5.0,27296.0,2353.2,148.38,148.38,774.4,43.062,12.585,706.04,0.0,1.0,0.0,-0.60648,702.06
299.0,5.0,8272.0,2992.8,137.91,137.91,619.28,37.507,14.405,699.01,0.0,1.0,0.0,-0.50854,697.8
301.0,5.0,23958.0,3752.6,131.95,131.95,376.43,43.551,16.793,693.47,0.0,1.0,0.0,-0.6253,689.98
302.0,5.0,29250.0,4275.3,200.19,200.19,1455.5,45.367,10.803,706.77,0.0,1.0,0.0,-0.69552,702.51
303.0,5.0,42988.0,4407.9,210.06,210.06,697.53,33.241,24.634,708.45,0.0,1.0,0.0,-1.0369,702.19
305.0,5.0,49664.0,5029.4,168.13,168.13,490.31,30.943,23.5,700.15,0.0,1.0,0.0,0.38315,692.91
306.0,5.0,53811.0,5705.8,110.45,110.45,251.11,26.747,16.24,705.13,0.0,1.0,0.0,-0.23674,697.29
