"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2","fwhm0","fwhm1"
1357.0,125.0,9403.528761326257,8061.13845769265,373.21,373.21,13620.0,435.22,16.88,696.86,0.0,-64.0,154.02,-0.8028,698.61,674.46,625.91
1372.0,126.0,11300.830989552043,15280.033629456702,138.14,138.14,999.49,554.73,31.903,699.24,0.0,128.0,290.68,-2.9869,701.34,630.03,820.7
1373.0,126.0,9933.930989552044,15619.033629456702,245.43,245.43,5327.8,608.76,21.91,697.32,0.0,41.0,199.71,-0.80378,699.17,520.93,583.01
1387.0,127.0,9911.533217777831,15640.028801220757,185.15,185.15,2846.3,768.92,21.19,693.89,0.0,43.0,193.14,-1.1329,695.73,420.24,471.85
1389.0,128.0,9212.335446003619,7958.82397298481,359.06,359.06,13372.0,684.29,18.294,694.58,0.0,-279.0,167.25,-0.58139,696.29,665.81,450.86
1391.0,128.0,3724.135446003618,10246.023972984809,686.69,686.69,75600.0,327.31,9.7374,694.98,0.0,96.0,88.632,0.50926,695.68,957.46,1180.8
1398.0,129.0,9256.137674229403,7891.119144748863,292.47,292.47,8516.2,596.98,20.096,693.99,0.0,204.0,182.91,0.7538,695.72,450.61,661.06
1408.0,129.0,3850.6376742294055,14241.019144748863,1071.7,1071.7,385930.0,498.06,4.9838,701.9,0.0,270.0,45.012,0.88047,702.62,640.63,1027.5
1417.0,130.0,9254.63990245519,7979.114316512916,196.66,196.66,3125.3,552.35,22.237,695.03,0.0,-122.0,202.95,-0.53023,696.75,597.53,502.43
1422.0,130.0,2962.3399024551927,11663.014316512916,1218.0,1218.0,522160.0,545.51,4.8635,693.92,0.0,-63.0,44.446,-0.31354,694.47,635.61,590.24
1433.0,131.0,4365.042130680979,10047.009488276968,1207.5,1207.5,555170.0,440.32,4.4786,699.94,0.0,227.0,40.474,0.33616,700.75,387.79,588.17
1434.0,131.0,3800.84213068098,10160.009488276968,996.37,996.37,282850.0,476.03,6.2349,694.48,0.0,-63.0,56.95,-0.36178,695.18,542.71,504.66
1450.0,132.0,12224.844358906767,14611.004660041022,110.84,110.84,1108.7,596.79,19.479,696.59,0.0,-403.0,178.26,-1.4632,698.86,633.55,386.3
1479.0,135.0,11168.851043584129,10483.990175333181,243.56,243.56,3542.7,716.93,28.335,693.22,0.0,447.0,257.65,0.084392,695.29,1380.6,2611.2
1485.0,136.0,9353.553271809917,7975.785347097234,484.02,484.02,23537.0,126.81,19.172,696.51,0.0,-117.0,174.99,-0.83303,698.25,723.35,613.12
1504.0,137.0,9796.855500035705,15060.980518861288,345.93,345.93,11342.0,682.72,19.039,696.72,0.0,126.0,173.39,0.64203,698.54,500.73,649.8
1505.0,137.0,9391.955500035705,16549.980518861285,132.93,132.93,1185.7,105.32,31.308,695.63,0.0,-94.0,285.62,-2.4642,697.38,708.12,624.08
1522.0,139.0,4217.659956487278,9043.770862389394,260.48,260.48,6296.3,289.88,17.304,697.96,0.0,78.0,157.65,-0.32525,698.75,528.89,632.04
1528.0,139.0,9843.459956487279,12067.970862389395,123.85,123.85,719.08,746.85,30.935,693.27,0.0,-245.0,282.46,-0.83543,695.1,677.14,476.88
1532.0,139.0,9661.359956487278,15005.970862389395,286.04,286.04,10362.0,744.76,16.523,697.02,0.0,-211.0,150.99,0.98852,698.81,620.67,456.7
1537.0,140.0,4193.462184713066,9044.166034153446,243.9,243.9,5558.5,581.78,16.769,695.37,0.0,-112.0,153.08,0.049666,696.15,592.87,507.1
1538.0,140.0,6844.962184713066,9526.666034153446,263.03,263.03,3422.4,644.84,35.89,696.57,0.0,-156.0,327.49,0.055674,697.85,512.33,408.28
